id,app,value,EG,number,description
687,Horizontal Bar,B,2,2,Back uprise and straddle over to hang rw.
688,Horizontal Bar,B,2,20,Back uprise and piked vault with ½ t. to hang.(Voronin)
689,Horizontal Bar,C,2,3,Back uprise and strad. hecht with ½ t. to hang(Markelov)
690,Horizontal Bar,C,2,9,Swing fwd. and vault bwd. strad. or piked to hang.(Tkatchev)
691,Horizontal Bar,D,2,4,Markelov stretched with legs together.(Yamawaki)
692,Horizontal Bar,D,2,10,Tkatchev stretched.
693,Horizontal Bar,D,2,16,Tkatchev straddled with ½ t. to mix el-grip into back uprise to hdst.(Lynch)
694,Horizontal Bar,D,2,22,"Stalder, stoop circle or free hip circle bwd to Tkatchev straddle.(Piatti)"
695,Horizontal Bar,E,2,11,Tkatchev stretched with ½ t. to mix el-grip into back uprise to hdst.(Moznik)
696,Horizontal Bar,E,2,17,Tkatchev straddled ½ t. to double elgrip.(Kulesza)
697,Horizontal Bar,E,2,23,Piatti stretched.
698,Horizontal Bar,F,2,6,Back uprise and hecht stretched with 3/2 t. to hang.(Walstrom)
699,Horizontal Bar,F,2,12,Tkatchev stretched with 1/1 t.(Liukin)
700,Horizontal Bar,F,2,24,Piatti stretched with ½ t. to mix el-grip into back uprise to hdst.(Kierzkowski)
701,Horizontal Bar,B,2,26,Back uprise and rear vault with ¼ t. to hang.
702,Horizontal Bar,C,2,33,"Swing bwd. and salto fwd. t., p. or strad. to hg. also from el-grip.(Jäger)"
703,Horizontal Bar,D,2,28,Piatti piked.
704,Horizontal Bar,D,2,34,"Salto fwd. stretched, also from el-grip.(Balabanov)"
705,Horizontal Bar,D,2,46,Swing fwd. and counter salto fwd. strad. to hg.(Xiao Ruizhi)
706,Horizontal Bar,E,2,29,Piatti with ½ t. to mix el-grip into back up. to hdst.
707,Horizontal Bar,E,2,47,Yamawaki ½ t. stretched to mixed grip into back uprise to hdst.(Muñoz - Pozzo)
708,Horizontal Bar,G,2,30,(Suarez)
709,Horizontal Bar,F,2,36,Salto fwd. stretched with 1/1 t. also from el grip.(Winkler - Pogorelev)
710,Horizontal Bar,G,2,42,Salto fwd. stretched with 2/1 t. also from el grip.
711,Horizontal Bar,C,2,57,Czech giant and vault bwd. strad. to hang.
712,Horizontal Bar,C,2,63,Swing fwd. and salto bwd. strad. w. ½ t. to hg.(Deltchev)
713,Horizontal Bar,C,2,69,Swing fwd. and salto bwd. piked w. ½ t. to hang.
714,Horizontal Bar,D,2,52,"(Gaylord) Salto fwd, tuck or strad. over the bar, also from el-grip."
715,Horizontal Bar,E,2,59,Gaylord piked.
716,Horizontal Bar,F,2,54,Gaylord with ½ t.(Pegan)
717,Horizontal Bar,G,2,60,Pegan Pike.(Maras)
718,Horizontal Bar,G,2,66,Kovacs stretched or piked with 1/1 turn.(Cassina)
719,Horizontal Bar,F,2,72,Swing fwd. and salto bwd. w. 3/2 t. to hang.(Deff)
720,Horizontal Bar,C,2,75,Stalder ½ t. to rear vault with ¼ t. to hang.(Jansen)
721,Horizontal Bar,D,2,76,Salto bwd. ½ t.tucked over the bar.
722,Horizontal Bar,D,2,82,(Kovacs)Double salto bwd. t. over the bar.
723,Horizontal Bar,E,2,77,(Gaylord 2)Salto bwd. ½ t.piked over the bar.
724,Horizontal Bar,E,2,83,Kovacs piked or stretched.
725,Horizontal Bar,E,2,89,Kovacs with 1/1 t.(Kolman)
726,Horizontal Bar,H,2,84,Kovacs with 2/1 t.(Bretschneider)
727,Horizontal Bar,G,2,96,Kovacs with 3/2 t. to mix grip.(Shaham)
728,Horizontal Bar,A,3,1,Kip to hdst. or from mixed grip to hdst w. ½ t.
729,Horizontal Bar,A,3,13,"From hang or from support, free hip circle through handstand."
730,Horizontal Bar,A,3,19,"From hang or from support, free hip circle through handstand with ½ turn."
731,Horizontal Bar,B,3,2,Kip to hdst. in under or mixed grip w. 1/1 t. to mixed grip.
732,Horizontal Bar,B,3,8,"(Weiler)From hdst., free hip circle fwd. thr. hdst."
733,Horizontal Bar,B,3,14,tourWeiler with ½ turn. giro
734,Horizontal Bar,B,3,20,"From hang or from support, free hip circle-through handstand with ½ turn to el grip."
735,Horizontal Bar,C,3,3,Kip to hdst. in under or mixed grip w. 1/1 t. to el-grip.
736,Horizontal Bar,C,3,9,Weiler with 1/1 turn to mixed - grip.
737,Horizontal Bar,D,3,10,Weiler with 1/1 turn to double el - grip.
738,Horizontal Bar,A,3,25,"From hang or from support, free hip circle hop to handstand."
739,Horizontal Bar,B,3,32,(Endo)Free circle fwd. straddled or legs together thr. hdst.
740,Horizontal Bar,B,3,38,Endo with ½ t. thr. hdst.
741,Horizontal Bar,B,3,44,(Stalder)Free circle bwd. straddle or legs together thr. hdst.
742,Horizontal Bar,C,3,27,"From hang or from support, free hip circle hop through handstand with 1/1 turn"
743,Horizontal Bar,C,3,39,Endo. with 1/1 t. thr. hdst. in mixt grip.
744,Horizontal Bar,C,3,45,Stalder with hop 1/1 t. through hdst.
745,Horizontal Bar,D,3,40,Endo with 1/1 t. thr. hdst. in el-grip.
746,Horizontal Bar,D,3,46,Stalder with hop 3/2 turn through hdst. in mix el-grip.
747,Horizontal Bar,E,3,47,Stalder with hop 3/2 turn through hdst. in el-grip.
748,Horizontal Bar,B,3,50,Stalder with ½ turn through hdst.
749,Horizontal Bar,B,3,56,Stalder with hop through hdst.
750,Horizontal Bar,C,3,51,Stalder with ½ turn through hdst. in el-grip.
751,Horizontal Bar,C,3,57,Stalder with hop through hdst. in el-grip.
752,Horizontal Bar,C,3,63,Stoop circle rearward fwd. through hdst. (Adler).
753,Horizontal Bar,D,3,64,Adler with ½ t. through hdst. in ovgr.
754,Horizontal Bar,D,3,70,Adler hop to hdst. in ungr. or ovgr. or mixed grip.
755,Horizontal Bar,E,3,65,(Fuentes)Adler and 1/1 t. through hdst. in ungr.
756,Horizontal Bar,A,3,79,Back toss to dorsal hang.
757,Horizontal Bar,B,3,80,"From dorsal hang, uprise fwd. to support rw.(Steineman)"
758,Horizontal Bar,B,3,92,Steineman uprise w. flank bwd. to sup
759,Horizontal Bar,C,3,81,Stoop in and free back toss to dorsal hang.
760,Horizontal Bar,C,3,87,Steineman uprise w. stoop or to hdst.(Koste)
761,Horizontal Bar,C,3,93,Endo in el-grip thr. hdst.
762,Horizontal Bar,D,3,76,"Adler and 1/1 t. thr. hdst. in mixed grip, also with hop."
763,Horizontal Bar,D,3,94,Endo in el-grip and 1/1 t. to mixed grip or under-grip.
764,Horizontal Bar,A,3,103,Stoop circle fwd. to straddle cut to hang or sup.
765,Horizontal Bar,B,3,104,Stoop circle fwd. to straddle cut through hdst.
766,Horizontal Bar,C,3,105,Stoop circle fwd. to straddle cut with ½ t. (Carballo)
767,Horizontal Bar,D,3,100,Koste ½ turn to elgrip. Koste con ½ giro a cubital.(Likhovitskiy)
768,Horizontal Bar,D,3,106,Carballo with ½ turn to mixed el-grip.(Quintero)
769,Horizontal Bar,E,3,107,Quintero to el-grip.
770,Horizontal Bar,A,4,1,"Salto fwd. piked or stretched, also with ½ t."
771,Horizontal Bar,B,4,2,Salto fwd. str. with 1/1 or 3/2 t.
772,Horizontal Bar,C,4,3,Salto fwd. str. with 2/1 or 5/2 t.
773,Horizontal Bar,C,4,9,Double salto fwd. t. or p.or with
774,Horizontal Bar,C,4,21,Double salto fwd. t. or p. or with ½ turn over the bar.
775,Horizontal Bar,D,4,10,Double salto fwd. t. or p. with 1/1 or 3/2 t.
776,Horizontal Bar,D,4,16,Double salto fwd. str. or with
777,Horizontal Bar,D,4,22,Dbl. salto fwd. t. or p. w. 1/1 or 3/2 t. over the bar.
778,Horizontal Bar,E,4,11,Double salto fwd. t. or p. with 2/1 or 5/2 t.
779,Horizontal Bar,E,4,17,Double salto fwd. str. with 1/1 or 3/2 t.
780,Horizontal Bar,G,4,6,Triple salto fwd. t. (Rumbutis)
781,Horizontal Bar,A,4,25,Salto bwd. piked or str. also with ½ or 1/1 t.
782,Horizontal Bar,B,4,26,Salto bwd. str. with 3/2 or 2/1 t.
783,Horizontal Bar,B,4,32,Double salto bwd. tuck or pike.
784,Horizontal Bar,C,4,27,Salto bwd. str. with 5/2 or 3/1 t.
785,Horizontal Bar,C,4,33,Double salto bwd. t. or pike with 1/1 t.(Tsukahara)
786,Horizontal Bar,C,4,39,Double salto bwd. str.
787,Horizontal Bar,D,4,34,Double salto bwd. t. or p. with 2/1 t.
788,Horizontal Bar,D,4,40,Double salto bwd. str. with 1/1 t.
789,Horizontal Bar,E,4,41,Double salto bwd. str. with 2/1 t.(Watanabe)
790,Horizontal Bar,F,4,42,(Fedorchenko)Double salto bwd. str. with 3/1 t.
791,Horizontal Bar,F,4,48,(Andrianov)(Hoffmann)Triple salto bwd. t. or over the bar.
792,Horizontal Bar,A,4,61,"Hecht strad., hecht or hecht w. ½ t."
793,Horizontal Bar,B,4,50,Double salto bwd. t. or p. over the bar.
794,Horizontal Bar,B,4,62,Hecht w. 1/1 or 3/2 t.
795,Horizontal Bar,C,4,51,Dbl. salto bwd. t. or p. with 1/1 t. over the bar.
796,Horizontal Bar,C,4,57,Double salto bwd. str over the bar.
797,Horizontal Bar,D,4,52,Double salto bwd. t. or p. with 2/1 t. over the bar
798,Horizontal Bar,D,4,58,Double salto bwd. str. w. 1/1 t. over the bar.(Hayden)
799,Horizontal Bar,D,4,64,Hecht w. 2/1 t.
800,Horizontal Bar,G,4,54,Triple salto bwd. p.(Fardan)
801,Horizontal Bar,G,4,60,Triple salto bwd. t. with 1/1 t.(Belle)
